index;cluster_index;disease;disease_count;mean_lon;mean_lat
0;5;Zika;30;-79.18295033333334;10.317102666666669
1;4;Zika;22;105.00905000000002;8.756301363636362
2;1;Mad Cow;18;3.3056266666666665;49.970826666666674
3;3;Zika;15;121.907516;12.671395333333333
4;8;Zika;12;77.13354333333335;17.674740000000003
5;2;Zika;11;-46.935392727272735;-23.275813636363633
6;0;Zika;9;-37.10143333333334;-8.605374444444443
8;9;Zika;8;-99.02257125000001;23.334603750000003
9;5;Hepatitis;5;-76.613616;38.285484
10;1;Flu;4;5.245525;42.5543625
